iter	Passed	Remaining
890	23131	2829
891	23155	2803
892	23184	2777
893	23222	2753
894	23253	2728
895	23281	2702
896	23308	2676
897	23336	2650
898	23362	2624
899	23391	2599
900	23416	2572
901	23443	2547
902	23472	2521
903	23502	2495
904	23529	2469
905	23556	2444
906	23583	2418
907	23614	2392
908	23640	2366
909	23665	2340
910	23695	2314
911	23722	2289
912	23749	2263
913	23781	2237
914	23811	2211
915	23836	2185
916	23860	2159
917	23885	2133
918	23914	2107
919	23938	2081
920	23963	2055
921	23990	2029
922	24017	2003
923	24054	1978
924	24093	1953
925	24127	1928
926	24155	1902
927	24209	1878
928	24251	1853
929	24279	1827
930	24303	1801
931	24336	1775
932	24371	1750
933	24400	1724
934	24426	1698
935	24458	1672
936	24492	1646
937	24519	1620
938	24546	1594
939	24573	1568
940	24599	1542
941	24627	1516
942	24652	1490
943	24679	1464
944	24704	1437
945	24732	1411
946	24760	1385
947	24786	1359
948	24814	1333
949	24838	1307
950	24866	1281
951	24900	1255
952	24939	1229
953	24981	1204
954	25017	1178
955	25058	1153
956	25099	1127
957	25144	1102
958	25182	1076
959	25227	1051
960	25256	1024
961	25284	998
962	25313	972
963	25340	946
964	25368	920
965	25393	893
966	25419	867
967	25447	841
968	25479	815
969	25505	788
970	25532	762
971	25559	736
972	25584	709
973	25611	683
974	25636	657
975	25662	631
976	25687	604
977	25714	578
978	25751	552
979	25782	526
980	25817	500
981	25853	473
982	25893	447
983	25938	421
984	25969	395
985	26001	369
986	26035	342
987	26064	316
988	26093	290
989	26117	263
990	26145	237
991	26172	211
992	26197	184
993	26223	158
994	26251	131
995	26281	105
996	26306	79
997	26328	52
998	26354	26
999	26377	0
